symbol;nimi;sektor;hind;tootlus;kogus;kasum_aktsia_kohta;dividend_aktsia_kohta;aktsiate_arv
A;Agilent Technologies Inc;Health Care ;35.37;1.64;3464464;1.2;0.46;331546000
AA;Alcoa Inc;Materials ;7.81;1.14;27182632;-0.31;0.12;1228851000
AAL;American Airlines Group;Industrials ;36.19;1.8;11143254;11.07;0.40;621671000
AAP;Advance Auto Parts;Consumer Discretionary ;141.5;0.04;1239814;6.81;0.24;72922000
AAPL;Apple Inc.;Information Technology ;94.99;0.02;44331670;9.4;2.08;5541034000
ABBV;AbbVie;Health Care ;53.48;1.12;7655796;3.13;2.28;1632817000
ABC;AmerisourceBergen Corp;Health Care ;84.75;1.35;2808974;1.8;1.36;192888000
ABT;Abbott Laboratories;Health Care ;37;1.23;8691584;2.93;1.04;1487677000
ACN;Accenture plc;Information Technology ;93.32;1.84;6679491;4.75;2.20;626306000
ADBE;Adobe Systems Inc;Information Technology ;73.85;1.45;6697354;1.24;0.00;496267000
ADI;Analog Devices, Inc.;Information Technology ;49.31;0.31;3112050;2.2;1.60;310506000
ADM;Archer-Daniels-Midland Co;Consumer Staples ;33.58;0.84;6369366;2.98;1.20;581475000
ADP;Automatic Data Processing;Information Technology ;80.67;0.71;2247529;3.22;2.12;456700000
ADS;Alliance Data Systems;Information Technology ;177.12;3.6;1685809;8.82;N/A;59654000
ADSK;Autodesk Inc;Information Technology ;42.64;1.86;3241930;-1.24;0.00;196173000
ADT;ADT Corp;Industrials ;27.4;1.48;4055342;1.7;0.88;164827000
AEE;Ameren Corp;Utilities ;46.08;0.19;2285394;2.67;1.70;241829000
AEP;American Electric Power;Utilities ;62.37;0.19;3166401;3.61;2.24;490729000
AES;AES Corp;Utilities ;9.51;0.74;5530347;0.84;0.44;671489000
AET;Aetna Inc;Health Care ;97.2;3.06;4493496;6.78;1.00;347026000
AFL;AFLAC Inc;Financials ;57.93;0.12;2780624;5.85;1.64;419329000
AGN;Allergan plc;Health Care ;272.34;2.27;2832764;10.88;0.20;388500000
AIG;American International Group, Inc.;Financials ;52.25;0.1;11267492;3.42;1.12;1236727000
AIV;Apartment Investment & Mgmt;Financials ;35.45;0.42;2116749;1.52;1.32;154150000
AIZ;Assurant Inc;Financials ;76.49;0.34;1033757;1.79;2.00;64914000
AKAM;Akamai Technologies Inc;Information Technology ;39.57;3.44;6686739;1.82;N/A;172835000
ALL;Allstate Corp;Financials ;63.01;0.51;3743744;5.05;1.20;379776000
ALLE;Allegion;Industrials ;54.28;0.95;1425704;1.21;0.48;95746000
ALXN;Alexion Pharmaceuticals;Health Care ;136.46;1.93;2559822;0.67;N/A;224058000
AMAT;Applied Materials Inc;Information Technology ;16.1;0.56;13838916;1.12;0.40;1145915000
AME;Ametek;Industrials ;45.75;2.23;1952269;2.45;0.36;233270000
AMG;Affiliated Managers Group Inc;Financials ;119.94;0.35;743039;9.29;N/A;53425000
AMGN;Amgen Inc;Health Care ;143.16;0.11;4211109;9.06;4.00;753095000
AMP;Ameriprise Financial;Financials ;78.5;1.98;1908934;8.48;2.68;170404000
AMT;American Tower Corp A;Financials ;85.57;0.19;2638074;1.34;1.96;422934000
AMZN;Amazon.com Inc;Consumer Discretionary ;482.07;1.24;7078024;1.25;N/A;386340000
AN;AutoNation Inc;Consumer Discretionary ;46.44;3.87;2622398;3.89;N/A;75786000
ANTM;Anthem Inc.;Health Care ;119.82;2.22;2791846;9.38;2.50;267549000
AON;Aon plc;Financials ;92.88;0.11;2188976;4.88;1.20;272022000
APA;Apache Corporation;Energy ;35.58;5.32;7548006;-54.96;1.00;376369000
APC;Anadarko Petroleum Corp;Energy ;37.24;7.02;12085704;-13.18;1.08;506735000
APD;Air Products & Chemicals Inc;Materials ;132.46;1.31;1657425;6.05;3.24;194682000
APH;Amphenol Corp A;Industrials ;49.04;0.12;2515878;2.41;0.56;305039000
ARG;Airgas Inc;Materials ;140.14;0.26;750556;4.64;2.40;64895000
ATVI;Activision Blizzard;Information Technology ;28.81;0.31;14216661;1.47;0.23;379221000
AVB;AvalonBay Communities, Inc.;Financials ;161.11;1.49;932298;5.51;5.40;136510000
AVGO;Avago Technologies;Information Technology ;119.71;1.76;6340018;4.85;1.76;276116000
AVY;Avery Dennison Corp;Materials ;62.89;2.54;1635916;2.95;1.48;92076000
AXP;American Express Co;Financials ;52.63;0.44;8588920;5.05;1.16;821901000
AZO;AutoZone Inc;Consumer Discretionary ;697.58;0.3;562478;37.12;N/A;30058000
BA;Boeing Company;Industrials ;117.79;0.49;4137630;7.44;4.36;666070000
BAC;Bank of America Corp;Financials ;12.2;0.57;247349967;1.31;0.20;10508878000
BAX;Baxter International Inc.;Health Care ;36.19;0.53;4552784;1.76;0.46;492376000
BBBY;Bed Bath & Beyond;Consumer Discretionary ;43.67;0.16;2736735;5.05;N/A;154854000
BBT;BB&T Corporation;Financials ;31.33;0.86;6286417;2.56;1.08;777387000
BBY;Best Buy Co. Inc.;Consumer Discretionary ;27.92;2.45;5332089;2.65;0.92;298491000
BCR;Bard (C.R.) Inc.;Health Care ;181.44;1;781616;1.77;0.96;73461000
BDX;Becton Dickinson;Health Care ;134.34;1.1;1701011;3.24;2.64;210350000
BEN;Franklin Resources;Financials ;32.09;1.14;4843596;3.12;0.72;362124000
BF-B;Brown-Forman Corporation;Consumer Staples ;95.86;1.63;986103;3.26;1.40;117860000
BHI;Baker Hughes Inc;Energy ;41.75;2.5;5533537;-4.49;0.68;415693000
BIIB;BIOGEN IDEC Inc.;Health Care ;249.99;0.31;2386904;15.34;N/A;218421000
BK;The Bank of New York Mellon Corp.;Financials ;33.6;0.9;6777269;2.71;0.68;1082694000
BLK;BlackRock;Financials ;294.53;0.36;878849;19.79;9.16;158771000
BLL;Ball Corp;Materials ;65.15;1.97;2159613;1.99;0.52;130699000
BMY;Bristol-Myers Squibb;Health Care ;61.02;0.49;6391917;0.97;1.52;1666668000
BRK-B;Berkshire Hathaway;Financials ;127.72;0.74;5246330;9.23;N/A;1309000
BSX;Boston Scientific;Health Care ;16.87;4.98;20135354;-0.18;N/A;1332709000
BWA;BorgWarner;Consumer Discretionary ;29.61;2;3818605;2.75;0.52;222878000
BXLT;Baxalta;Health Care ;36.78;0.88;5314173;2.38;0.28;583777000
BXP;Boston Properties;Financials ;108.97;1.95;1175016;3.72;2.60;152529000
C;Citigroup Inc.;Financials ;37.51;0.79;39767262;5.4;0.20;2948722000
CA;CA, Inc.;Information Technology ;27.57;0.44;4127343;1.74;1.00;312384000
CAG;ConAgra Foods Inc.;Consumer Staples ;39.7;1.46;3853934;-4.06;1.00;401344000
CAH;Cardinal Health Inc.;Health Care ;76.65;0.64;2653787;4.11;1.55;328587000
CAM;Cameron International Corp.;Energy ;62.12;2.39;2885840;2.59;N/A;190403000
